155 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.4546, 'val_kl_Loss_FC': 0.0025}
156 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.45789, 'val_kl_Loss_FC': 0.00271}
157 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.42882, 'val_kl_Loss_FC': 0.00243}
158 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.41926, 'val_kl_Loss_FC': 0.00218}
159 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.46756, 'val_kl_Loss_FC': 0.0026}
160 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.41899, 'val_kl_Loss_FC': 0.00249}
161 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.41832, 'val_kl_Loss_FC': 0.00265}
162 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.40995, 'val_kl_Loss_FC': 0.0024}
163 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.37748, 'val_kl_Loss_FC': 0.00232}
164 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39547, 'val_kl_Loss_FC': 0.00253}
165 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39754, 'val_kl_Loss_FC': 0.00231}
166 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.4081, 'val_kl_Loss_FC': 0.00255}
167 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39617, 'val_kl_Loss_FC': 0.00269}
